Programme_ID,Programme_Name,Programme_Short_Description,Programme_Location,Programme_Access,Programme_Detailed_Description,Image,Page URL,Narratives_Programme_Is_Part_Of,Discipline_Programme_Is_Part_Of
101,CONCHOPHILIA,A mythology of womanhood explored through knitted body sculptures,"Station area, Design Perron, Fuutlaan 12",Free,"Conchophilia tells a story where each piece is a point in the lifespan of shells and humans, drawing parallels between the individual growth cycles and establishing meeting points through body characteristics and social symbolism.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/conchophilia-nora-0030-2-lowres_1693211725_1800x1010.jpg,https://ddw.nl/en/programme/10700/conchophilia,,
102,Conjunction Armchair,,"Station area, Stationshal - Zuidhal - Eindhoven Centraal Station, Stationsplein 22",Free,In the beautifully curated space at the Central Station the 'Conjunction Armchair' will be presented among the work of other talented designers. The combination of the different pieces each with their own quality in both craftsmanship and aesthetics makes this setting truly 'Messmerizing'.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/sjoerd-geerts-conjunction-armchair-2cabout-today_1693571584_1800x1010.jpg,https://ddw.nl/en/programme/10562/conjunction-armchair,,
103,Conscious Confetti,"No waste, wél feest!","Strijp-S area, Klokgebouw | Hall 1, Klokgebouw 50",Free with DDW Ticket,Candy Converters gives discarded wafer paper a circular life in order to minimize the use of virgin materials and maximize the reuse of materials. The paper is turned into biodegradable confetti. This conscious confetti prevents plastic pollution and food waste.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/candy-converters-180523-9895_1693591844_1800x1010.jpg,https://ddw.nl/en/programme/9766/conscious-confetti,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""SPECULATIVE & SOCIAL DESIGN""]",Social Design
104,Coping with Mechanisms,,"Hallenweg area, De Fabriek, Baarsstraat 38",Free,"“Coping with Mechanisms"" is an art installation that addresses the recent rise of anxiety disorders among young adults and teenagers in the digital age. This project showcases the potential of meditative activities that counterbalance the negative effects of daily information overload.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/d2scf9104_1692900222_1800x1010.png,https://ddw.nl/en/programme/10437/coping-with-mechanisms,"[""EXHIBITIONS"", ""OUR HEALTH & WELLBEING"", ""SPECULATIVE & SOCIAL DESIGN""]",Social Design
105,Crafted Liberation,"From headscarves to stadium seats, Crafted Liberation celebrates Iranian Women's resilience in the pursuit of gender equality","Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,"Crafted Liberation is an exhibition showing unity and empowerment among women of Iran. With headscarves donated by Iranian women globally, we transform them into stadium seats composed of recycled headscarves, telling stories of their struggle against political and societal constraints.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/crafted-liberation_1694349009_1800x1010.jpg,https://ddw.nl/en/programme/10016/crafted-liberation,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""INDEPENDENT & CRITICAL DESIGN""]",Social Design
106,Crafts Academy,The talent program by Crafts Council Nederland.,"Sectie-C area, Hall 16 - C, Daalakkersweg 16",,"Under the guidance of leading maker-designers and craft experts, 36 young makers have developed their creative talents during the Crafts Academy.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/crafts-academy-site-v1-still_1693391906_1800x1010.png,https://ddw.nl/en/programme/10232/crafts-academy,"[""EXHIBITIONS"", ""PRODUCT & CRAFT DESIGN"", ""GROUP EXHIBITION""]",Design Research
107,Creative Jam,,"Strijp-S area, SintLucas, Torenallee 75",Free,"During the Creative Jam, around 100 students from various courses in The Netherlands and abroad will work on a design challenge and present them to a jury. They are under the guidance of coaches of leading digital design agencies.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/46-dsc07512-1683646592_1693568858_1800x1010.jpeg,https://ddw.nl/en/programme/9814/creative-jam,"[""WORKSHOP"", ""OUR DIGITAL FUTURE"", ""SERVICE & INNOVATIVE DESIGN""]",Service Design
108,CreativeNL Live,Live event on international innovation,"Station area, de Effenaar, Dommelstraat 2",,"CreativeNL & DRIVE presents: CreativeNL Live 2023! CreativeNL Live returns to the Effenaar, Eindhoven during Dutch Design Week on October 27. And this year, we joined forces with DRIVE for inspiring talks, matchmaking sessions, a delicious buffet ánd a big party (live music & drinks).",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/25-website-header_1693839707_1800x1010.png,https://ddw.nl/en/programme/10020/creativenl-live,,
109,Cringe or Cool?,Brought to you by Dogtooth™,"Hallenweg area, De Fabriek, Baarsstraat 38",Free,"Cringe or Cool?, invites 10 artists to explore the theme of Cringe. Design functions in the chasm between the old and the new, and often follows a cyclical rhythm. We might tend to see the new as Cool and old as Cringe, but those descriptions can be reversed with equal validity.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/ddw-website-poster_1694194858_1800x1010.jpg,https://ddw.nl/en/programme/9845/cringe-or-cool,"[""EXHIBITIONS"", ""OUR DIGITAL FUTURE "", ""INDEPENDENT & CRITICAL DESIGN"", ""GROUP EXHIBITION""]",Art Design
110,Culturalized Wind Power,How can wind turbines become our new national monuments?,"Other area, Pennings Foundation, Geldropseweg 63",Free,"Our relationship with wind energy has changed, but how?",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/noudsleumer-windpavilions_1693404754_1800x1010.jpg,https://ddw.nl/en/programme/9829/culturalized-wind-power,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""SPECULATIVE & SOCIAL DESIGN""]",Social Design
111,CurioCity for future living | Living LAB 040 Café,Are you a professional in the creative or building industry and do you want to participate in our debate on future living? Come and join us!,"Other area, Living LAB 040, Castilielaan 15",,"In Living Lab 040, a residential area and living lab, we discover living in the city of tomorrow. Together with companies, governments, knowledge institutions and users, we work on the major innovation challenges of this century. The debates organised in the LAB contribute to vision and imaging.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/living-lab-cafe_1693486039_1800x1010.png,https://ddw.nl/en/programme/9857/curiocity-for-future-living-living-lab-040-cafe,"[""SEMINAR"", ""OUR LIVING ENVIRONMENT"", ""SPECULATIVE & SOCIAL DESIGN""]",Design Research
112,CUTTING EDGES,"SCHOENENKWARTIER

Museum, knowledge centre & makerslab, connects the present, the past and the future of the world of shoes.","Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,With the exhibition CUTTING EDGES the Schoenenkwartier explores and expands the boundaries of the contemporary shoemaking industry. Novel materials and techniques—like 3d printing and the reuse of old sneakers - together with known techniques are challenging the dynamics of this age-old industry.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/schoenenkwartier-cutting-edges-photography-by-envisions-ronald-smits-1_1693566066_1800x1010.jpeg,https://ddw.nl/en/programme/10528/cutting-edges,,
113,Cycleau,,"Strijp-S area, VEEM floor 8, Torenallee 100",Free,"Around the world, challenges of water scarcity and pollution have affected local communities’ access clean drinking water and safe waterways. As a strategic intervention, Cycleau offers point-of-use water treatment and wastewater recycling in a low-cost, retrofitted system designed for homes.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/colorprofile2_1692996853_1800x1010.jpg,https://ddw.nl/en/programme/10696/cycleau,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""SPECULATIVE & SOCIAL DESIGN""]",Social Design
114,Cycleau,Cycleau is a compact water treatment system designed to recycle wastewater to drinking water to promote a circular means of access to clean water.,"Strijp-S area, VEEM floor 8, Torenallee 100",Free,"Around the world, challenges of water scarcity and pollution have affected local communities’ access to clean drinking water and safe waterways. As a strategic intervention, Cycleau offers point-of-use water treatment and wastewater recycling in a low-cost, retrofitted system designed for homes.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/james-dyson-award-images-01_1692996467_1800x1010.png,https://ddw.nl/en/programme/10029/cycleau,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""SPECULATIVE & SOCIAL DESIGN""]",Social Design
115,D@ N@T STAND@ MY GRAVE AND WEEP,,"Strijp-S area, VEEM floor 8, Torenallee 100",Free,"about censorship of the major Chinese social media platform Weibo (similar to Twitter), where your profile is left online, but terse and unclickable, as a ghost, the moment you ever criticized the Chinese government on that platform. Yujia expects she will never get a job in China after graduation.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/1-cover-imageklein_1694263534_1800x1010.jpg,https://ddw.nl/en/programme/10995/d-at-n-at-t-stand-at-my-grave-and-weep,,
116,Dat is Maakbaar,"Maakbar by Maakbaar, a pop-up coffee bar during the DDW 2023.","Sectie-C area, Hall - 4, Daalakkersweg 4",,"Meet studio Maakbaar in their pop-up coffee bar and a talk about future projects. See what Maakbaar could make for you. If that is more than a Coffee during the Dutch Design Week, they will subtract the costs of your coffee from the bill!",https://ddw.ams3.cdn.digitaloceanspaces.com/uploads/logo-120x80_1693422813.pdf,https://ddw.nl/en/programme/10150/dat-is-maakbaar,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""PRODUCT & CRAFT DESIGN""]",Interior Design
117,De Frontlinie,,"Strijp-S area, VEEM floor 8, Torenallee 100",Free,"By asking straightforward yes-or-no questions, an attempt is made to promote depolarization, shed new light on the recent protest actions in museums, and provide more insight into these issues.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/defrontlinie-lois-pagie-klein_1694380711_1800x1010.jpg,https://ddw.nl/en/programme/11018/de-frontlinie,,
118,De Groenmarkt,,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/1-bastiaan-jongerius-architecten-ronald-janssen-architecten-groenmarkt-dda23-habitat-photo-by-sebastian-van-damme_1689583445_1800x1010.jpg,https://ddw.nl/en/programme/10493/de-groenmarkt,,
119,De Kunstwerf,,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/1-studio-donna-van-milligen-bielke-de-kunstwerf-dda23-habitat-photo-by-iwan-baan_1689583612_1800x1010.jpg,https://ddw.nl/en/programme/10491/de-kunstwerf,,
120,De-Construction Site,Reclaiming the city as our collective common.,"Sectie-C area, Hall 16 - C, Daalakkersweg 16",,"What
Modern city planning does not allow signs or representation of its community - the public. It predetermines urban environments without our involvement.

How
Recontextualising common construction barriers, converts a symbol of restriction into a place that invites the presence of people.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/de-construction-site_1693492165_1800x1010.jpg,https://ddw.nl/en/programme/10710/de-construction-site,,
121,"Death, Taxes, & Advertisements",An inquiry into the mining of the 21st century's most precious commodity: attention.,"Hallenweg area, De Fabriek, Baarsstraat 38",Free,"The phrase ""Death and Taxes"" is perhaps most famously quoted by Benjamin Franklin, ""but in this world nothing can be said to be certain, except death and taxes."" This project suggests an update to the dated idiom: Death, Taxes, & Advertisements. Do I have your undivided attention?",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/death-taxes-advertisements-album-cover-for-website-02_1694195436_1800x1010.jpg,https://ddw.nl/en/programme/10724/death-taxes-amp-advertisements,,
122,Design approach for social transitions,Turning complex change into something understandable by experimenting in policy implementation.,"Strijp-S area, Klokgebouw | Hall 1, Klokgebouw 50",Free with DDW Ticket,The Netherlands faces societal challenges that impact everyday life. How do you turn a complex change into a social transition (understandable and accessible)? At Klokgebouw we present the lessons learned from two years of a design approach with the city of Rotterdam within the energy transition.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/ht202106260020-3-1_1693499507_1800x1010.jpg,https://ddw.nl/en/programme/10065/design-approach-for-social-transitions,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""SPECULATIVE & SOCIAL DESIGN""]",Social Design
123,Design Beyond Vision,"Design Beyond Vision presents its research into a multi-sensory, playful installation that reveal Inclusive Design from a sense of touch and hearing.","Strijp-S area, Klokgebouw | Hall 1, Klokgebouw 50",Free with DDW Ticket,"The playful installation presents a storyline behind the Inclusive Design. By elaborating on the undervalued sensory and emotional part of the design drive, it reveals the basics of human needs in inclusive design, where surviving is the common goal—no matter the differences we have.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/1_1693639357_1800x1010.jpg,https://ddw.nl/en/programme/10066/design-beyond-vision,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""SPECULATIVE & SOCIAL DESIGN""]",Social Design
124,Design for a Heavy Future,Post-Nuclear Design,"Strijp-S area, VEEM floor 8, Torenallee 100",Free,We unfortunately live in a time in which nuclear war is still a threat. Design for a heavy future exists of normal everyday objects redesigned in a way so they can still aid us during the events of nuclear war. Evoking open conversations while trying to solve an unsolvable problem.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/sebastiaan-schoonen-6_1694341255_1800x1010.jpg,https://ddw.nl/en/programme/10997/design-for-a-heavy-future,,
125,Design for Transition - What's on your Menu?,Tasty conversations about futures at the dining table,"Strijp-S area, Ketelhuisplein, Ketelhuisplein",Free,"Visit University of Twente (UT) at Ketelhuisplein and blend futuring with the art of cooking. In this interactive exhibition, you will explore how your values interplay with presents and futures and discover the role of design for societal transitions.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/microsoftteams-image-10_1693384795_1800x1010.png,https://ddw.nl/en/programme/9862/design-for-transition-whats-on-your-menu,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""SPECULATIVE & SOCIAL DESIGN""]",Social Design
126,Design Intelligence Award,A surprising and exciting mix of excellent Industrial Design both from Dutch and international award winners,"West area, Evoluon, Noord Brabantlaan 1A",Free with DDW Ticket,"The Design Intelligence Award is the first international academic award in Industrial Design established in 2015 by the China Academy of Art. This year the 7th edition called for designers, students, and companies from the Netherlands and internationally to enter their works and projects.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/hi5a5073-w6465-min_1693901340_1800x1010.JPG,https://ddw.nl/en/programme/10282/design-intelligence-award,"[""EXHIBITIONS"", ""SERVICE & INNOVATIVE DESIGN"", ""GROUP EXHIBITION""]",Industrial Design
127,Design Interventions and Boundary Artefacts,We are flooded and washed away by the inevitable reality that our ecosystem is collapsing. Can we turn that tide?,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,"An overview of long-term research projects and methodologies aimed at upgrading organic materials and local production. Through Design Research, Tjeerd Veenhoven develops new value chains that enable sustainable consumption and contribute to the recovery of our ecosystem.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/flagss_1693556712_1800x1010.jpg,https://ddw.nl/en/programme/10000/design-interventions-and-boundary-artefacts,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""INDEPENDENT & CRITICAL DESIGN""]",Design Research
128,Design the (work) life you’ll love,Designing your dream (work) life starts with getting to know yourself better. Discover what brings you to life with a set of expressive stickers!,"Station area, The Social Hub Eindhoven, Stationsweg 1",,Designer Iris Jönsthövel offers a hands-on workshop to help you figure out what you’ll need from your (work) life to feel aligned & fulfilled. With worksheets and associative sticker prompts you’ll be exploring things about yourself that make you excited and inspired by your own unique personality.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/iris-tools-for-life_1693304477_1800x1010.jpg,https://ddw.nl/en/programme/9946/design-the-work-life-youll-love,"[""WORKSHOP"", ""OUR HEALTH & WELLBEING"", ""SPECULATIVE & SOCIAL DESIGN""]",Social Design
129,Design your MRI experience (for kids),"Enter the exciting world of the MRI scan, where the Philips Museum and illustrator Aniek Bartels join forces to enchant children aged 6 to 10.","Centre area, Philips Museum, Emmasingel 31",Free with DDW Ticket or Entrance Fee,"An MRI scan is an extraordinary experience. Our innovative concept
challenges children to reflect on their personal sense of calm and encourages them to discover what technology can do.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/design-your-mri-experience-for-kids-image-1_1693378454_1800x1010.jpg,https://ddw.nl/en/programme/10464/design-your-mri-experience-for-kids,"[""EXHIBITIONS"", ""OUR HEALTH & WELLBEING"", ""SPECULATIVE & SOCIAL DESIGN""]",Social Design
130,Designed to die,,"Strijp-S area, Klokgebouw | Hall 2, Klokgebouw 50",Free with DDW Ticket,"The urns resulting from the work ""Designed to Die"" address the importance of an urn burial for relatives as well as for the deceased person. The urn is made of pure, degradable soy wax and is divided into two parts.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/bild-2-gdg-janek-beau1_1694380337_1800x1010.jpg,https://ddw.nl/en/programme/11017/designed-to-die,,
131,Designing Sustainable North Stars,"A new holistic approach to design truly sustainable products, that takes into account product, user and system","Strijp T+R area, Innovation Powerhouse, Zwaanstraat 31a",Access,"A newly developed design approach to tackle complex sustainable challenges in a holistic way. A unique process which show cases elements of physical and digital design, product engineering, user research, system thinking and service design, applied to a consumer electronic product: a baby monitor!",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/bliss-product-1_1693832112_1800x1010.png,https://ddw.nl/en/programme/10527/designing-sustainable-north-stars,,
132,Designing with composite material waste,Conceptual prototypes demonstrating the possibilities of reusing composite material in new applications.,"Strijp T+R area, Innovation Powerhouse, Zwaanstraat 31a",Access,The difficulty with recycling composite materials is expected to result in millions of tons of waste. Three graduate students from the TU Delft explored the possibility of reusing these composites in new applications to preserve the value embedded in the material and developed a design approach.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/lamp-post_1690985450_1800x1010.jpg,https://ddw.nl/en/programme/10535/designing-with-composite-material-waste,,
133,Deze Beams,"DEZE BEAMS are perhaps the most sustainable product in the world, with which everyone can also get started.","Centre area, Schellens Fabriek, Bleekweg 1M",Free,"The world is in need of change. We need to consume more sustainably, recycle more, upcycle more and generally use fewer materials. More and more people are aware of this. With DEZE BEAMS we want to help people to offer more sustainable solutions.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/logo-pagina-1_1692801542_1800x1010.jpg,https://ddw.nl/en/programme/10141/deze-beams,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""PRODUCT & CRAFT DESIGN""]",Interior Design
134,Dialogues of the Unheard,Stories that matter,"Sectie-C area, Hall 16 - C, Daalakkersweg 16",,Design has the potential to serve narratives that have been underrepresented. We design to cultivate greater awareness. The works by six visionary young designers are crafted with this precise purpose in mind: to amplify and bring to the forefront those dialogues that have long remained unheard.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/artboard-4_1695675779_1800x1010.png,https://ddw.nl/en/programme/10407/dialogues-of-the-unheard,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""SPECULATIVE & SOCIAL DESIGN"", ""GROUP EXHIBITION""]",Social Design
135,Dickpic Photobooth,,"Strijp-S area, VEEM floor 8, Torenallee 100",Free,"Masculinity is still often linked to being a man and thus to being a sex man. In the installation Dickpik Photobooth, Clim Stoopen research this in a very literal way, where spectators can have their penis photographed.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/20230630-161316_1693950586_1800x1010.jpg,https://ddw.nl/en/programme/10963/dickpic-photobooth,,
136,Dicro Lamp,"Simple and visually light, the Dicro lamp attracts attention whether it's turned on or off.","Centre area, Schellens Fabriek, Bleekweg 1M",Free,"Dicro is a decorative lamp, designed to create a unique and appealing atmosphere through the combination of light and the dichroic vinyl it features.
When it's turned on, it creates an explosion of colors and brings the space to life. When it's turned off, it becomes a mirror of colors.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/dicro_1694623262_1800x1010.jpg,https://ddw.nl/en/programme/10943/dicro-lamp,,
137,Disembodied voices from beyond the horizon,"The embodiment of the ionosphere in a radio station with three satellites, that broadcast the battle of fragmented voices between Earth and space.","Hallenweg area, De Fabriek, Baarsstraat 38",Free,"The ionosphere is a natural electromagnetic field that embodies a discontinuous ghostly nature of information transmission. Three radio-satellites are interweaving the local, global, and celestial voices of the Ionosphere, to enact the fight for the radio spectrum, as an ethereal natural resource.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/2_1693345216_1800x1010.jpg,https://ddw.nl/en/programme/10304/disembodied-voices-from-beyond-the-horizon,"[""EXHIBITIONS"", ""OUR DIGITAL FUTURE"", ""INDEPENDENT & CRITICAL DESIGN""]",Design Research
138,Divide Unite,A room divider where the design is determined by the available waste material.,"Strijp T+R area, Piet Hein Eek, Halvemaanstraat 30",Free,"Our vision in this project is to create awareness about the value of reuse. The result of this can be seen in the series, Many shares of. During DDW we will show the translation in a room divider where the design is determined by the residual waste in collaboration with MONDiLAB.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/cv-bigart-karsboom-2-1900px-srgb-kopie_1692788738_1800x1010.jpeg,https://ddw.nl/en/programme/10235/divide-unite,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""PRODUCT & CRAFT DESIGN""]",Art Design
139,Dommel Vibes,The Dommel is a dynamic river flowing through a burgeoning city. How can we ensure that this waterway continues to play a shining role for Eindhoven?,"Strijp-S area, Onder de leidingen, Torenallee 22-04",,"Dommel Vibes dives into the rich life of the most important water in Eindhoven. Planting and water enrich the quality of city life for people and fauna. Offering opportunities, but also making demands of our growing and densifying city. So we are looking for a smart approach for now and the future.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/gem-dommel-vibes-campaign-v09-still-2400-lr_1693987708_1800x1010.png,https://ddw.nl/en/programme/9928/dommel-vibes,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""SPECULATIVE & SOCIAL DESIGN""]",Social Design
140,Dommel Vibes: De Verdieping,The Dommel is a dynamic river flowing through a burgeoning city. How can we ensure that this waterway continues to play a shining role for Eindhoven?,"Station area, Microstad, Professor Doctor Dorgelolaan 2",,"Dommel Vibes: De Verdieping (Into the Depths) is a series of sessions under the auspices of social design studio Cocosmos with TU/e and Design Academy Eindhoven students, various experts and stakeholders, exploring the Dommel as an ecological zone and an integral part of urban developments.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/gem-dommel-vibes-campaign-v09-still-2400-lr_1693987750_1800x1010.png,https://ddw.nl/en/programme/10348/dommel-vibes-de-verdieping,"[""WORKSHOP"", ""OUR LIVING ENVIRONMENT"", ""SPECULATIVE & SOCIAL DESIGN""]",Social Design
141,DommelPolitics,"See how the Dommel changes when animals are in charge, and experience how your vote directly influences the appearance of this waterway.","Centre area, Stadhuis, Stadhuisplein 1",,"The City Hall is dedicated to the Dommel, with an interactive presentation. Students from TU/e innovation Space allow you to view the waterway from a different perspective by uniting various animal species into political parties.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/dommelpolitics-2440x1600pix_1693519542_1800x1010.jpg,https://ddw.nl/en/programme/10177/dommelpolitics,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""SPECULATIVE & SOCIAL DESIGN""]",Bio Design
142,Doodle Series,"An ever expanding collection of unique, hand build and hand painted contemporary ceramics.","Sectie-C area, Collaboration O, Daalakkersweg 6",Free with DDW Ticket,"Doodle series came about during the first corona lockdown, from a need and want to create without having to be too serious and without having to think too much of the end result while having fun in doing.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/mayaelineleroy-doodleseries-2_1693484322_1800x1010.jpg,https://ddw.nl/en/programme/10801/doodle-series,,
143,Door de kieren vervlogen,An exploration of fragrant nostalgia,"Hallenweg area, De Fabriek, Baarsstraat 38",Free,"Through imagery and scent, Jip Schalkx and Louise Huyghe stir the viewers' nostalgia. Their installation sparks a sense of recognition and belonging, fostering a stronger sense of connection with cherished memories.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/ddw-image-1_1696431953_1800x1010.jpg,https://ddw.nl/en/programme/10326/door-de-kieren-vervlogen,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""INDEPENDENT & CRITICAL DESIGN""]",Art Design
144,DOUBLE DIP,An exclusive underground audio-visual conversation piece,"Hallenweg area, De Fabriek, Baarsstraat 38",Free,"""DOUBLE DIP is a commentary on the pseudo glamorous and self-indulgent lifestyle of the next generation of star designers. Thank you. No further comments.""",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/doubledip-cover1-smaller-1_1693324324_1800x1010.jpeg,https://ddw.nl/en/programme/10737/double-dip,,
145,Doubleyou,,"Station area, Design Perron, Fuutlaan 12",Free,3D printed breast prostheses: People can scan their remaining breast to create a customised prosthesis with a personalised texture. A product with a new process that empowers and offers freedom and confidence.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/doubleyou-dominique-bertisch-lowres-07_1694937571_1800x1010.jpg,https://ddw.nl/en/programme/11073/doubleyou,,
146,Doucette,Crafting from Scraps: The Art of Tufted Creations in Doucette's Collection,"Strijp T+R area, Piet Hein Eek, Halvemaanstraat 30",Free,Doucette is a collection of domestic objects created using artisanal techniques and guided by ecological considerations towards the materials.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/sameo-picture_1693418267_1800x1010.jpg,https://ddw.nl/en/programme/10033/doucette,"[""EXHIBITIONS"", ""PRODUCT & CRAFT DESIGN""]",Design Research
147,Douwe Halbertsma; NEW HORIZON and MIRAGE,"Simple and clearly designed sculptures, playful shapes referring to the human figure.","Station area, Stationshal - Zuidhal - Eindhoven Centraal Station, Stationsplein 22",Free,"At Messmerizing Douwe presents a large, unique collectible art object MIRAGE together with a small object in limited edition NEW HORIZON.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/new-horizon-pink_1692023354_1800x1010.jpg,https://ddw.nl/en/programme/10578/douwe-halbertsma-new-horizon-and-mirage,,
148,Dream Cakes,pop-up patisserie and group exhibition,"Other area, Salon Veneman, Tongelresestraat 1",Free,Salon Veneman introduces a pop-up social hangout where we celebrate the sweet things in life with an international line-up of artists.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/ddwsite2_1693490891_1800x1010.jpg,https://ddw.nl/en/programme/10386/dream-cakes,"[""EXHIBITIONS"", ""OUR HEALTH & WELLBEING"", ""PRODUCT & CRAFT DESIGN""]",Experience Design
149,DREAM. DISCOVER. DESIGN.,TU Delft Industrial Design Engineering students & researchers welcome you to our first of its kind interactive exhibition,"Strijp-S area, Area 51 Basement, Ketelhuisplein 18",Free,"Is the current world designed for our needs? What is your DREAM for the future? DISCOVER the dream worlds created by designers from TU Delft Industrial Design Engineering in our immersive experience in Area51 (basement). Get inspired, excited, exhilarated to DESIGN your own future!",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/tudelft-emailbanners-eng-05_1693297920_1800x1010.png,https://ddw.nl/en/programme/9788/dream-discover-design,"[""EXHIBITIONS"", ""EDUCATION""]",Social Design
150,DRIP040,Don’t worry just sport!,"Strijp-S area, Ketelhuisplein, Ketelhuisplein",Free,"The DRIP Foundation believes that all children and youth deserve equal opportunities. Everywhere and always, including at the sports club. Without social pressure, without judgment, without distinction. With DRIP040 we put the essence together: Don't worry just Sport!",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/drip_1693654433_1800x1010.png,https://ddw.nl/en/programme/10072/drip040,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""PRODUCT & CRAFT DESIGN""]",Experience Design
151,DRIVE 2023,DESIGN RESEARCH & INNOVATION FESTIVAL,"Station area, de Effenaar, Dommelstraat 2",,"DRIVE is back! From October 23 to 27, we are back in the Effenaar (Eindhoven) for inspiring talks (DRIVE Live) and cool work sessions (DRIVE Works) during Dutch Design Week. We bring you inspiring examples of knowledge and innovation in and for the creative industry.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/header-logo-1920x1080-webproof-en-schermproof-small_1693840018_1800x1010.jpg,https://ddw.nl/en/programme/9739/drive-2023,,
